ident,name,time,condition,clouds,visibility,winds,temperature,dew_point,pressure
AYPY,Port Moresby Jacksons International Airport,25 Apr 2021 22:00,,,Greater than 10 km,Calm,,, mil
BIKF,Keflavik International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,10 degrees at 14 knots,5,3,1028
BKPR,Priština International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,Variable at 1 knots,9,-1,1017
CYEG,Edmonton International Airport,25 Apr 2021 22:00,Dry,A few at 2591 meters; a few at 7620 meters,32187 meters,290 degrees at 11 knots,9,-12,29.6
CYHZ,Halifax / Stanfield International Airport,25 Apr 2021 22:00,Dry,Overcast sky at 3658 meters,24140 meters,140 degrees at 8 knots,10,4,29.8
CYOW,Ottawa Macdonald-Cartier International Airport,25 Apr 2021 22:00,Dry,Scattered at 1067 meters,24140 meters,300 degrees at 19 knots,10,4,29.7
CYUL,Montreal / Pierre Elliott Trudeau International Airport,25 Apr 2021 22:00,Dry,Overcast sky at 1463 meters,16093 meters,200 degrees at 4 knots,10,8,29.6
CYVR,Vancouver International Airport,25 Apr 2021 22:00,Dry,Scattered at 914 meters; broken sky at 1067 meters; overcast sky at 2073 meters,32187 meters,120 degrees at 9 knots,11,7,29.7
CYWG,Winnipeg / James Armstrong Richardson International Airport,25 Apr 2021 22:00,Dry,Overcast sky at 2073 meters,24140 meters,230 degrees at 13 knots,10,-5,29.8
CYYC,Calgary International Airport,25 Apr 2021 22:00,Light snow,Scattered at 610 meters; overcast sky at 1524 meters,9656 meters,70 degrees at 7 knots,2,1,29.6
CYYJ,Victoria International Airport,25 Apr 2021 22:00,Light showers of rain,A few at 671 meters; scattered at 1219 meters; overcast sky at 1951 meters,32187 meters,140 degrees at 5 knots,10,7,29.7
CYYT,St. John's International Airport,25 Apr 2021 22:00,Dry,A few at 1372 meters,24140 meters,260 degrees at 13 knots,8,-2,30.0
CYYZ,Lester B. Pearson International Airport,25 Apr 2021 22:00,Dry,Broken sky at 914 meters,24140 meters,300 degrees at 22 knots,5,-3,29.9
DAAG,Houari Boumediene Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,150 degrees at 13 knots,25,7,1006
DFFD,Ouagadougou Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,220 degrees at 6 knots,33,15,1009
DGAA,Kotoka International Airport,25 Apr 2021 22:00,Dry,A few at 457 meters; scattered at 975 meters; broken sky at 1311 meters,Greater than 10 km,220 degrees at 8 knots,29,26,1011
DNAA,Nnamdi Azikiwe International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,300 degrees at 4 knots,30,21,1011
DNKN,Mallam Aminu International Airport,25 Apr 2021 22:00,Dry,A few at 549 meters,Greater than 10 km,250 degrees at 6 knots,30,13,1012
DNMM,Murtala Muhammed International Airport,25 Apr 2021 22:00,Dry,A few at 366 meters,Greater than 10 km,Variable at 2 knots,28,25,1012
DRRN,Diori Hamani International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,140 degrees at 4 knots,36,9,1008
DTTA,Tunis Carthage International Airport,25 Apr 2021 22:00,Dry,A few at 792 meters,Greater than 10 km,120 degrees at 8 knots,17,13,1013
EBBR,Brussels Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,30 degrees at 5 knots,3,1,1024
EBCI,Brussels South Charleroi Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,40 degrees at 8 knots,5,0,1023
EBLG,Liège Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,50 degrees at 8 knots,5,0,1023
EDDB,Berlin-Schönefeld Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,350 degrees at 4 knots,3,-5,1024
EDDC,Dresden Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 2 knots,2,-1,1023
EDDF,Frankfurt am Main Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,20 degrees at 9 knots,7,-2,1022
EDDG,Münster Osnabrück Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,30 degrees at 7 knots,4,-1,1024
EDDH,Hamburg Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,330 degrees at 3 knots,4,-3,1025
EDDK,Cologne Bonn Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,Variable at 1 knots,4,-2,1023
EDDL,Düsseldorf Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,60 degrees at 2 knots,3,0,1024
EDDM,Munich Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,30 degrees at 5 knots,5,-2,1019
EDDN,Nuremberg Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,60 degrees at 5 knots,6,-3,1022
EDDP,Leipzig/Halle Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,20 degrees at 6 knots,2,-4,1024
EDDS,Stuttgart Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,50 degrees at 8 knots,7,-2,1020
EDDT,Berlin-Tegel Airport,w at EDDT:,Clear,Clear sky, 4%,320 at 2kts,2.8, 2.8,1020
EDDV,Hannover Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,130 degrees at 3 knots,4,-5,1025
EDDW,Bremen Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,40 degrees at 4 knots,5,-2,1025
EDLW,Dortmund Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,70 degrees at 3 knots,4,-2,1023
EDSB,Karlsruhe Baden-Baden Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,20 degrees at 12 knots,9,-1,1019
EETN,Lennart Meri Tallinn Airport,25 Apr 2021 22:20,Light rain,Broken sky at 244 meters; overcast sky at 396 meters,Greater than 10 km,310 degrees at 11 knots,2,0,1010
EFHK,Helsinki Vantaa Airport,25 Apr 2021 22:20,Light snow,Broken sky at 183 meters,3500 meters,300 degrees at 8 knots,0,0,1009
EGAA,Belfast International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,110 degrees at 3 knots,3,1,1028
EGAC,George Best Belfast City Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,100 degrees at 2 knots,6,3,1028
